Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Venango,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,98,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,10874.14,Lost wages dues to hospitalization for opioid use,333.84,Estimated state income tax revenue lost during hospitalizations due to opioid use,61,61,42,121,"(41.4034125863, -79.7628656104)",POINT (-79.7628656104 41.4034125863),41.40341259,-79.76286561
County,Butler,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,98,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,13188.00,Lost wages dues to hospitalization for opioid use,404.87,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
County,Tioga,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,4,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,435.43,Lost wages dues to hospitalization for opioid use,13.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,59,59,42,117,"(41.7733383358, -77.2578807579)",POINT (-77.2578807579 41.7733383358),41.77333834,-77.25788076
County,Mercer,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,20,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2320.00,Lost wages dues to hospitalization for opioid use,71.22,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Cambria,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,53,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5133.43,Lost wages dues to hospitalization for opioid use,157.60,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
County,Clearfield,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,21,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2184.00,Lost wages dues to hospitalization for opioid use,67.05,Estimated state income tax revenue lost during hospitalizations due to opioid use,17,17,42,33,"(41.0004290024, -78.4755834299)",POINT (-78.4755834299 41.0004290024),41.000429,-78.47558343
County,Erie,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,235,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,28065.71,Lost wages dues to hospitalization for opioid use,861.62,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
County,Susquehanna,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,58,58,42,115,"(41.8205685982, -75.8025030296)",POINT (-75.8025030296 41.8205685982),41.8205686,-75.80250303
County,Cumberland,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,157,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,23617.29,Lost wages dues to hospitalization for opioid use,725.05,Estimated state income tax revenue lost during hospitalizations due to opioid use,21,21,42,41,"(40.167598388, -77.268662705)",POINT (-77.268662705 40.167598388),40.16759839,-77.26866271
County,Jefferson,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,6,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,656.57,Lost wages dues to hospitalization for opioid use,20.16,Estimated state income tax revenue lost during hospitalizations due to opioid use,33,33,42,65,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115),41.13139091,-79.00101814
County,Cambria,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,40,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4251.43,Lost wages dues to hospitalization for opioid use,130.52,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
County,Greene,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,10,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1438.57,Lost wages dues to hospitalization for opioid use,44.16,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,York,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,322,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,45310.00,Lost wages dues to hospitalization for opioid use,1391.02,Estimated state income tax revenue lost during hospitalizations due to opioid use,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124),39.92192531,-76.72576052
County,Armstrong,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,26,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2663.14,Lost wages dues to hospitalization for opioid use,81.76,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Luzerne,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,94,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,11374.00,Lost wages dues to hospitalization for opioid use,349.18,Estimated state income tax revenue lost during hospitalizations due to opioid use,40,40,42,79,"(41.1783643884, -75.991996098)",POINT (-75.991996098 41.1783643884),41.17836439,-75.9919961
County,Allegheny,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,1059,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,167775.86,Lost wages dues to hospitalization for opioid use,5150.72,Estimated state income tax revenue lost during hospitalizations due to opioid use,2,2,42,3,"(40.4673554298, -79.9861984282)",POINT (-79.9861984282 40.4673554298),40.46735543,-79.98619843
County,Bradford,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,14,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1852.00,Lost wages dues to hospitalization for opioid use,56.86,Estimated state income tax revenue lost during hospitalizations due to opioid use,8,8,42,15,"(41.7911781401, -76.5182562384)",POINT (-76.5182562384 41.7911781401),41.79117814,-76.51825624
County,Fayette,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,66,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7109.14,Lost wages dues to hospitalization for opioid use,218.25,Estimated state income tax revenue lost during hospitalizations due to opioid use,26,26,42,51,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803),39.9194478,-79.65189635
County,Philadelphia,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,16614,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2933478.14,Lost wages dues to hospitalization for opioid use,90057.78,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
County,Mercer,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,155,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,19672.86,Lost wages dues to hospitalization for opioid use,603.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Huntingdon,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,64,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6217.14,Lost wages dues to hospitalization for opioid use,190.87,Estimated state income tax revenue lost during hospitalizations due to opioid use,31,31,42,61,"(40.4161050032, -77.9827661036)",POINT (-77.9827661036 40.4161050032),40.416105,-77.9827661
County,Somerset,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,17,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2027.86,Lost wages dues to hospitalization for opioid use,62.26,Estimated state income tax revenue lost during hospitalizations due to opioid use,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901),39.97146299,-79.03100206
County,Susquehanna,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,4,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,444.00,Lost wages dues to hospitalization for opioid use,13.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,58,58,42,115,"(41.8205685982, -75.8025030296)",POINT (-75.8025030296 41.8205685982),41.8205686,-75.80250303
County,Montgomery,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,4126,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,786208.71,Lost wages dues to hospitalization for opioid use,24136.61,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,Adams,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,6,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,654.00,Lost wages dues to hospitalization for opioid use,20.08,Estimated state income tax revenue lost during hospitalizations due to opioid use,1,1,42,1,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503),39.87209565,-77.22224271
County,Mercer,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,38,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5168.00,Lost wages dues to hospitalization for opioid use,158.66,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Carbon,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,83,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8181.43,Lost wages dues to hospitalization for opioid use,251.17,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
State,Commonwealth,All,50 to 64 years,2018,2018 Q3,7/1/2018-9/30/2018,3639,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,557504.71,Lost wages dues to hospitalization for opioid use,17115.39,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Elk,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,14,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1690.00,Lost wages dues to hospitalization for opioid use,51.88,Estimated state income tax revenue lost during hospitalizations due to opioid use,24,24,42,47,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606),41.42819416,-78.64947713
County,Greene,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,18,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2766.86,Lost wages dues to hospitalization for opioid use,84.94,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,Erie,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,194,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,23862.00,Lost wages dues to hospitalization for opioid use,732.56,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
County,Washington,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,106,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16157.43,Lost wages dues to hospitalization for opioid use,496.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345),40.19109664,-80.25180083
